id,Name,titleProject_id,class,score,login,password
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,hB3Box7H
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,69Xs2Pli
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,asmaq27m
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,Duxua9Ea
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,1XqQ3uT3
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,s30UXtKr
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,j00qEl8F
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,LxD3J5cw
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,vC3Cuz4F
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,nolj9DID
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,lzjB5s8U
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,NQNwabEl
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,6SkfhcSG
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,xtN1iZm2
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,ExJS9VMy
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,JZ43xfAq
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,QmW7Fs1D
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,Jazvmg7M
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,71yJmDnV
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,TyH3kRem
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,WI551Mos
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,2WtkCoi8
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,fqo0HB0y
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,HTt8Y6B5
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,bULcXdBS
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,U7qEGbEG
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,XRDJnHiw
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,fZWROajj
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,t9Q6ce3A
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,CvTZLZA3
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,LBpjIbjl
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,djKjwPdo
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,k5NKyKQG
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,yGyeX9Cr
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,A7hVJDdU
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,mr8cQ92C
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,V3cxcx7n
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,7Iv67yFR
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,4bNApXEp
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,6ICViJvn
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,0QolWN0e
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,tsJYDZ44
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,4GEQ9Qjp
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,5iliub5k
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,bxjqtGTW
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,Wf5mntbq
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,QvsqukRd
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,Zo6kQiWX
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,ELO0zpdx
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,g2Rnifk7
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,VWs4ucMr
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,ht9RsCkE
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,4QLdHY7H
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,ZuxVFdaD
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,eG2nGGET
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,S4oWuz9x
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,TmBh4JmC
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,JyRmifRB
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,oJcdjvaX
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,XireipTn
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,f2yOBrhA
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,4DLPM9OR
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,3Ahb3sJF
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,Ow6KPN0c
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,WaK43tvO
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,L5aocolM
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,2XqSv5aL
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,WIRUns0q
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,aoTjpLsB
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,rAtRhT7S
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,z0QLAujG
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,5XE6Drvd
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,Lo7abPgH
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,NbITysr8
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,8G5D1Kw7
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,P47y4WqQ
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,EmVNFqMM
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,P9FPlCsp
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,oMpvyOc0
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,DBiwl2o4
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,oettqjZg
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,cuBzOrON
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,UAB8eJFF
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,Edj3TLw2
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,7bEHTXS2
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,vkcr2Gvq
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,ruUA8qdu
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,YmrJ62To
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,VwgW4lcg
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,z5FdzCi9
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,n4fOmBp8
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,N6k4SWQP
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,GN6Qgadr
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,5TuODhGY
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,ZuV0Yonq
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,Z9ynOAjC
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,vXKtJ2tT
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,vJyagLQO
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,tSW8wyGQ
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,fbPiaUE9
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,oQMRMUcZ
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,gM0PPerd
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,RIV4ttJD
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,L6sKhdvp
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,Gt3RumED
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,QlwYk0x8
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,a9vX6EKd
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,zxwlYpxU
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,kQemqDrp
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,0t8BPIWB
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,L65Q2ZC7
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,BVbrsFZY
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,vlAXhsXb
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,kyvX3HC5
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,AJs19wqg
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,5aTix3YD
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,DL4lVs1W
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,QtZbiuu2
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,WycGYuIx
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,lkpObSZG
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,motcg0if
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,w8T0w29k
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,CXLq4h3O
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,VcmimAwR
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,g4UGg5IG
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,doBd6pyZ
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,G66H51DI
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,KpbBOJ8p
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,TnDcFL31
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,cFNw6Uzo
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,gDGjUMlh
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,cMHqFKPM
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,wnGaDcDN
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,GlFoyoo1
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,M6yJe7iv
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,9IozCz8k
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,Js2Ishvt
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,6qfRoPX4
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,P3s0Yg2l
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,U5APs8mf
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,KpGmab7e
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,oyglQ854
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,W6RtoxbM
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,xarBghl4
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,prRlUGzz
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,uklpMwCL
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,1ko9QvFt
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,Ld13vnX9
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,G19OD87q
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,Yzbq0pC7
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,MAgJ30Ew
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,EH5QRdra
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,FesnmgjU
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,jRmNWXGK
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,4XSvdxrO
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,ILN2asSH
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,IxnwKnCf
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,25S92meX
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,oO2cAs8v
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,Gyzcx3vv
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,ElPnTojB
278,Углова Галина Романовна,260,9г,3,Углова_ГР,ehF3xl9u
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,Xap8JcAF
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,ExzvKPnB
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,cWlOA912
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,xW9RufbF
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,wbqgJ3iv
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,WmVNNOQD
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,vve17jQv
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,ICTou2NF
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,8LxzDTOr
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,9TrHeamj
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,lkjILWQe
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,3kFgmSvX
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,JZSzzLK5
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,SGNdDAgP
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,HxQZC20a
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,uKKocZRf
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,EZr24nOG
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,vk83wRpI
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,edZ31BIS
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,i7RJTuBh
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,epWaF3r6
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,nme1dxyH
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,H8PonzAE
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,LOWoMfMU
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,OhoBPYwa
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,to3ZOfaa
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,9vp2PVOj
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,72pEbBwN
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,VeSrOWzS
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,luANI5Gu
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,dnvUi8bf
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,ctLXrkuL
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,VBOnFUtI
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,En0gOZzX
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,zC2O3NXM
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,VGnCBaSz
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,HP5oT03j
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,OgEQc4Mm
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,WkRmGqMM
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,G8IaffaS
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,iyCXCpra
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,gyH6Hy6V
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,15pQaHxG
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,SkoDKHZJ
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,cldmC3KB
